"Ma Prime Rénov_MPR_2023"





MPR_POPB_engtOuPaiementSolde_2023T2_CEE
"Données sur les certificats d'économies d'énergie de Ma Prime Rénov 2023. Une table par trimestre"

"Nom de la variable";Libellé;Modalités
PYIDDOS;"Identifiant unique du dossier";
SUBTYPENAMECEE;"Nom du geste associé au Certificat d'Économies d'Énergie (CEE)";
MTCEEINIT;"Montant de l'aide du Certificat d'Économies d'Énergie (CEE) saisi par le demandeur à l'engagement";
MTCEE;"Montant de l'aide du Certificat d'Économies d'Énergie (CEE) à l'engagement";
MTCEESOLDEINIT;"Montant de l'aide du Certificat d'Économies d'Énergie (CEE) saisi par le demandeur au solde";
MTCEESOLDE;"Montant de l'aide du Certificat d'Économies d'Énergie (CEE) au solde";



MPR_POPB_engtOuPaiementSolde_2023T2_Dossier
"Données sur les dossiers de Ma Prime Rénov 2023. Une table par trimestre"

"Nom de la variable";Libellé;Modalités
PYIDDOS;"Identifiant unique du dossier";
RFRSUM;"Revenu fiscal de référence du demandeur";
OCCUPANTSNUMBER;"Nombre d'occupant dans le logement à rénover";
TYPEBENEF;"Type du demandeur (Occupant ou Bailleur)";"PO - Propriétaire bailleur";"PB - Propriétaire bailleur"
HOMETYPE;"Situation financière du demandeur";"TMO - Très modeste";"MO - Modeste";"INT - Intermédiaire";"SUP - Supérieur"
TYPELGT;"Type de logement à rénover";"01 - Maison";"02 - Appartement"
CHAUFFAGEPRINCIPALLABEL;"Chauffage principal du logement à rénover (Depuis le 15/04/2022)";
NUMDPE;"Numéro de Diagnostic de Performance Énérgetique (DPE) renseigné";
ADEME_ETIQUETTE_DPE;"Étiquette de Diagnostic de Performance Énergétique (DPE) associée au N° de Diagnostic de Performance Énergétique (DPE) renseigné (source : Agence de la transition écologique(Adème))";
ADEME_ETIQUETTE_GES;"Étiquette de Gaz à Effet de Serre (GES) associée au N° de Diagnostic de Performance Énergétique (DPE) renseigné (source : Agence de la transition écologique (Adème))";
ADEME_MODELE_DPE;"Modèle de Diagnostic de Performance Énergétique (DPE) utilisé (source : Agence de la transition écologique (Adème))";
ADEME_DATE_EDITION_DPE;"Date d'établissement du Diagnostic de Performance Énergétique (DPE) (source : Agence de la transition écologique (Adème))";
DPEACT;"Diagnostic de performance énergétique actuel (Rénovation globale)";
