"subtypename","hometype","pre","post"
"Chaudière gaz THPE","Modestes",2743,2087
"Chaudière gaz THPE","Très modestes",3974,3000
"Chaudière à bûches","Intermédiaires",124,215
"Chaudière à bûches","Modestes",112,195
"Chaudière à bûches","Très modestes",171,283
"Chaudière à granulés","Intermédiaires",1923,3242
"Chaudière à granulés","Modestes",1997,3041
"Chaudière à granulés","Très modestes",4457,5504
"Chauffage solaire combiné","Intermédiaires",52,71
"Chauffage solaire combiné","Modestes",53,174
"Chauffage solaire combiné","Très modestes",219,640
"Pompe à chaleur air / eau","Intermédiaires",9285,17756
"Pompe à chaleur air / eau","Modestes",6355,10423
"Pompe à chaleur air / eau","Très modestes",13655,17107
"Pompes à chaleur géothermique","Intermédiaires",166,274
"Pompes à chaleur géothermique","Modestes",86,148
"Pompes à chaleur géothermique","Très modestes",133,283
