Date de publication;Date de mise à jour;Mois concerné;Prix indice global (ancienne formule en €/MWh);Volume total indice global (ancienne formule en GWh);Nb total transactions indice global (ancienne formule);Prix indice global (nouvelle formule en €/MWh);Volume total indice global (nouvelle formule en GWh);Nb total transactions indice global (nouvelle formule)
01/06/2025;01/06/2025;Mai;;;;7,95;22136.587;120
01/06/2025;01/06/2025;Mai;;;;7,95;22136.587;120
01/05/2025;01/05/2025;Avril;;;;8,0;27288.294;156
01/05/2025;01/05/2025;Avril;;;;8,0;27288.294;156
01/04/2025;01/04/2025;Mars;;;;7,93;33721.761;199
01/04/2025;01/04/2025;Mars;;;;7,93;33721.761;199
01/03/2025;01/03/2025;Février;;;;7,9;19640.371;114
01/03/2025;01/03/2025;Février;;;;7,9;19640.371;114
01/02/2025;01/02/2025;Janvier;;;;8,11;46610.425;158
01/02/2025;01/02/2025;Janvier;;;;8,11;46610.425;158
01/01/2025;01/01/2025;Décembre;;;;8,03;74204.9;254
01/01/2025;01/01/2025;Décembre;;;;8,03;74204.9;254
01/12/2024;01/12/2024;Novembre;;;;8,01;36124.001;140
01/12/2024;01/12/2024;Novembre;;;;8,01;36124.001;140
01/11/2024;01/11/2024;Octobre;;;;8,0;28921.819;158
01/11/2024;01/11/2024;Octobre;;;;8,0;28921.819;158
01/10/2024;01/10/2024;Septembre;;;;8,01;36704.031;166
01/10/2024;01/10/2024;Septembre;;;;8,01;36704.031;166
01/09/2024;01/09/2024;Août;;;;7,88;24811.275;115
01/09/2024;01/09/2024;Août;;;;7,88;24811.275;115
01/08/2024;01/08/2024;Juillet;;;;7,89;35758.794;182
01/08/2024;01/08/2024;Juillet;;;;7,89;35758.794;182
01/07/2024;01/07/2024;Juin;;;;7,93;36005.549;179
01/07/2024;01/07/2024;Juin;;;;7,93;36005.549;179
01/06/2024;01/06/2024;Mai;;;;7,88;35544.033;187
01/06/2024;01/06/2024;Mai;;;;7,88;35544.033;187
01/05/2024;01/05/2024;Avril;;;;8,04;23480.336;133
01/05/2024;01/05/2024;Avril;;;;8,04;23480.336;133
01/04/2024;01/04/2024;Mars;;;;8,0;32326.42;168
01/04/2024;01/04/2024;Mars;;;;8,0;32326.42;168
01/03/2024;01/03/2024;Février;;;;8,1;22687.011;131
01/03/2024;01/03/2024;Février;;;;8,1;22687.011;131
01/02/2024;01/02/2024;Janvier;;;;8,06;27901.338;155
01/02/2024;01/02/2024;Janvier;;;;8,06;27901.338;155
01/01/2024;01/01/2024;Décembre;;;;7,84;36848.941;185
01/01/2024;01/01/2024;Décembre;;;;7,84;36848.941;185
01/12/2023;01/12/2023;Novembre;;;;7,66;29468.75;152
01/12/2023;01/12/2023;Novembre;;;;7,66;29468.75;152
01/11/2023;01/11/2023;Octobre;;;;7,85;26945.243;127
01/11/2023;01/11/2023;Octobre;;;;7,85;26945.243;127
01/10/2023;01/10/2023;Septembre;;;;7,23;19626.888;123
